State_Name,Season,Crop,Area,Production,soil_type
Andhra Pradesh,Whole Year ,Arecanut,8,12, Laterite
Andhra Pradesh,Whole Year ,Arecanut,12,9, Laterite
Andhra Pradesh,Whole Year ,Arecanut,10,8, Laterite
Andhra Pradesh,Whole Year ,Arecanut,10,7, Laterite
Andhra Pradesh,Whole Year ,Arecanut,5,5, Laterite
Andhra Pradesh,Whole Year ,Arecanut,1,1, Laterite
Andhra Pradesh,Kharif     ,Arecanut,1,1, Laterite
Andhra Pradesh,Whole Year ,Arecanut,9,6, Laterite
Andhra Pradesh,Whole Year ,Arecanut,9,7, Laterite
Andhra Pradesh,Whole Year ,Arecanut,9,6, Laterite
Andhra Pradesh,Whole Year ,Arecanut,9,9, Laterite
Andhra Pradesh,Whole Year ,Arecanut,9,9, Laterite
Andhra Pradesh,Whole Year ,Arecanut,20,9, Laterite
Assam,Whole Year ,Arecanut,4136,3174, Laterite
Assam,Whole Year ,Arecanut,2768,2338, Laterite
Assam,Whole Year ,Arecanut,2781,3015, Laterite
Assam,Whole Year ,Arecanut,2500,2411, Laterite
Assam,Rabi       ,Arecanut,2500,2411, Laterite
Assam,Rabi       ,Arecanut,2600,2361, Laterite
Assam,Rabi       ,Arecanut,2500,2036, Laterite
Assam,Rabi       ,Arecanut,2650,1798, Laterite
Assam,Whole Year ,Arecanut,7160,5360, Laterite
Assam,Whole Year ,Arecanut,7160,6649, Laterite
Assam,Whole Year ,Arecanut,7170,5801, Laterite
Assam,Whole Year ,Arecanut,7160,5895, Laterite
Assam,Whole Year ,Arecanut,6582,5326, Laterite
Assam,Whole Year ,Arecanut,6577,4671, Laterite
Assam,Whole Year ,Arecanut,6610,7728, Laterite
Assam,Whole Year ,Arecanut,6610,7577, Laterite
Assam,Whole Year ,Arecanut,3740,2420, Laterite
Assam,Whole Year ,Arecanut,3756,2862, Laterite
Assam,Whole Year ,Arecanut,3015,2210, Laterite
Assam,Whole Year ,Arecanut,3373,2307, Laterite
Assam,Rabi       ,Arecanut,3373,2307, Laterite
Assam,Rabi       ,Arecanut,3351,3502, Laterite
Assam,Rabi       ,Arecanut,3365,3781, Laterite
Assam,Rabi       ,Arecanut,3321,2036, Laterite
Assam,Whole Year ,Arecanut,2950,3521, Laterite
Assam,Whole Year ,Arecanut,2970,4020, Laterite
Assam,Whole Year ,Arecanut,3132,4439, Laterite
Assam,Whole Year ,Arecanut,3020,5016, Laterite
Assam,Whole Year ,Arecanut,3034,4024, Laterite
Assam,Whole Year ,Arecanut,3012,2785, Laterite
Assam,Whole Year ,Arecanut,3385,4934, Laterite
Assam,Whole Year ,Arecanut,3394,5552, Laterite
Assam,Whole Year ,Arecanut,1738,1588, Laterite
Assam,Whole Year ,Arecanut,1557,1583, Laterite
Assam,Whole Year ,Arecanut,1562,2024, Laterite
Assam,Whole Year ,Arecanut,1563,1721, Laterite
Assam,Rabi       ,Arecanut,1563,1721, Laterite
Assam,Rabi       ,Arecanut,1566,2330, Laterite
Assam,Rabi       ,Arecanut,1559,2155, Laterite
Assam,Rabi       ,Arecanut,1590,1387, Laterite
Assam,Whole Year ,Arecanut,4505,1058, Laterite
Assam,Whole Year ,Arecanut,4515,2237, Laterite
Assam,Whole Year ,Arecanut,4520,858, Laterite
Assam,Whole Year ,Arecanut,4565,3106, Laterite
Assam,Whole Year ,Arecanut,4575,2143, Laterite
Assam,Whole Year ,Arecanut,4580,1566, Laterite
Assam,Whole Year ,Arecanut,4464,1222, Laterite
Assam,Whole Year ,Arecanut,4184,1133, Laterite
Assam,Whole Year ,Arecanut,4545,1037, Laterite
Assam,Whole Year ,Arecanut,4295,1805, Laterite
Assam,Whole Year ,Arecanut,4446,2821, Laterite
Assam,Whole Year ,Arecanut,4478,2435, Laterite
Assam,Rabi       ,Arecanut,4478,2435, Laterite
Assam,Rabi       ,Arecanut,4293,2432, Laterite
Assam,Rabi       ,Arecanut,4331,2233, Laterite
Assam,Rabi       ,Arecanut,4467,1605, Laterite
Assam,Whole Year ,Arecanut,2008,1541, Laterite
Assam,Whole Year ,Arecanut,2207,1865, Laterite
Assam,Whole Year ,Arecanut,2260,2451, Laterite
Assam,Whole Year ,Arecanut,2588,2496, Laterite
Assam,Rabi       ,Arecanut,2588,2496, Laterite
Assam,Rabi       ,Arecanut,2912,2524, Laterite
Assam,Rabi       ,Arecanut,2267,2232, Laterite
Assam,Rabi       ,Arecanut,2291,1555, Laterite
Assam,Whole Year ,Arecanut,4325,1710, Laterite
Assam,Whole Year ,Arecanut,4580,2050, Laterite
Assam,Whole Year ,Arecanut,4733,3148, Laterite
Assam,Whole Year ,Arecanut,4749,2976, Laterite
Assam,Whole Year ,Arecanut,4800,3842, Laterite
Assam,Whole Year ,Arecanut,5060,3052, Laterite
Assam,Whole Year ,Arecanut,5072,3036, Laterite
Assam,Whole Year ,Arecanut,5080,3645, Laterite
Assam,Whole Year ,Arecanut,1781,2005, Laterite
Assam,Whole Year ,Arecanut,1144,797, Laterite
Assam,Whole Year ,Arecanut,1685,673, Laterite
Assam,Whole Year ,Arecanut,1807,1083, Laterite
Assam,Rabi       ,Arecanut,1807,1083, Laterite
Assam,Rabi       ,Arecanut,1800,762, Laterite
Assam,Rabi       ,Arecanut,1840,1041, Laterite
Assam,Rabi       ,Arecanut,1671,1042, Laterite
Assam,Whole Year ,Arecanut,835,756, Laterite
Assam,Whole Year ,Arecanut,838,882, Laterite
Assam,Whole Year ,Arecanut,835,750, Laterite
Assam,Whole Year ,Arecanut,836,1130, Laterite
Assam,Whole Year ,Arecanut,852,1588, Laterite
Assam,Whole Year ,Arecanut,852,765, Laterite
Assam,Whole Year ,Arecanut,861,729, Laterite
Assam,Whole Year ,Arecanut,978,1163, Laterite
Assam,Whole Year ,Arecanut,1420,1434, Laterite
Assam,Whole Year ,Arecanut,960,795, Laterite
Assam,Whole Year ,Arecanut,257,444, Laterite
Assam,Whole Year ,Arecanut,960,747, Laterite
Assam,Rabi       ,Arecanut,960,747, Laterite
Assam,Rabi       ,Arecanut,975,952, Laterite
Assam,Rabi       ,Arecanut,990,967, Laterite
Assam,Rabi       ,Arecanut,962,352, Laterite
Assam,Whole Year ,Arecanut,2210,979, Laterite
Assam,Whole Year ,Arecanut,2273,1512, Laterite
Assam,Whole Year ,Arecanut,2300,1685, Laterite
Assam,Whole Year ,Arecanut,2207,1837, Laterite
Assam,Whole Year ,Arecanut,2264,1880, Laterite
Assam,Whole Year ,Arecanut,2003,2117, Laterite
Assam,Whole Year ,Arecanut,2110,1412, Laterite
Assam,Whole Year ,Arecanut,1830,3007, Laterite
Assam,Whole Year ,Arecanut,1315,1138, Laterite
Assam,Whole Year ,Arecanut,1327,1037, Laterite
Assam,Whole Year ,Arecanut,1080,1413, Laterite
Assam,Whole Year ,Arecanut,1186,602, Laterite
Assam,Rabi       ,Arecanut,1186,602, Laterite
Assam,Rabi       ,Arecanut,1262,866, Laterite
Assam,Rabi       ,Arecanut,1253,2353, Laterite
Assam,Rabi       ,Arecanut,1258,610, Laterite
Assam,Whole Year ,Arecanut,3378,2615, Laterite
Assam,Whole Year ,Arecanut,3380,2887, Laterite
Assam,Whole Year ,Arecanut,3550,2354, Laterite
Assam,Whole Year ,Arecanut,3100,2545, Laterite
Assam,Whole Year ,Arecanut,3100,2469, Laterite
Assam,Whole Year ,Arecanut,3105,2685, Laterite
Assam,Whole Year ,Arecanut,2756,4280, Laterite
Assam,Whole Year ,Arecanut,2137,2081, Laterite
Assam,Whole Year ,Arecanut,982,1461, Laterite
Assam,Whole Year ,Arecanut,1000,1266, Laterite
Assam,Whole Year ,Arecanut,1029,1096, Laterite
Assam,Whole Year ,Arecanut,1100,1569, Laterite
Assam,Rabi       ,Arecanut,1100,1569, Laterite
Assam,Rabi       ,Arecanut,1400,1595, Laterite
Assam,Rabi       ,Arecanut,1480,1866, Laterite
Assam,Rabi       ,Arecanut,1518,1187, Laterite
Assam,Whole Year ,Arecanut,360,264, Laterite
Assam,Whole Year ,Arecanut,335,226, Laterite
Assam,Whole Year ,Arecanut,380,262, Laterite
Assam,Whole Year ,Arecanut,350,299, Laterite
Assam,Whole Year ,Arecanut,320,283, Laterite
Assam,Whole Year ,Arecanut,350,233, Laterite
Assam,Whole Year ,Arecanut,395,443, Laterite
Assam,Whole Year ,Arecanut,387,357, Laterite
Assam,Whole Year ,Arecanut,490,283, Laterite
Assam,Whole Year ,Arecanut,482,181, Laterite
Assam,Whole Year ,Arecanut,91,52, Laterite
Assam,Whole Year ,Arecanut,269,166, Laterite
Assam,Rabi       ,Arecanut,269,166, Laterite
Assam,Rabi       ,Arecanut,1310,1308, Laterite
Assam,Rabi       ,Arecanut,1588,903, Laterite
Assam,Rabi       ,Arecanut,1742,583, Laterite
Assam,Whole Year ,Arecanut,2296,1666, Laterite
Assam,Whole Year ,Arecanut,2598,1422, Laterite
Assam,Whole Year ,Arecanut,2800,1965, Laterite
Assam,Whole Year ,Arecanut,2850,5110, Laterite
Assam,Whole Year ,Arecanut,2860,1990, Laterite
Assam,Whole Year ,Arecanut,2860,3028, Laterite
Assam,Whole Year ,Arecanut,2900,2896, Laterite
Assam,Whole Year ,Arecanut,3077,4028, Laterite
Assam,Whole Year ,Arecanut,3150,3976, Laterite
Assam,Whole Year ,Arecanut,3155,3790, Laterite
Assam,Whole Year ,Arecanut,3160,4168, Laterite
Assam,Whole Year ,Arecanut,3200,4609, Laterite
Assam,Rabi       ,Arecanut,3200,4609, Laterite
Assam,Rabi       ,Arecanut,2476,2995, Laterite
Assam,Rabi       ,Arecanut,2487,3354, Laterite
Assam,Rabi       ,Arecanut,2500,2314, Laterite
Assam,Whole Year ,Arecanut,4731,2787, Laterite
Assam,Whole Year ,Arecanut,4730,2244, Laterite
Assam,Whole Year ,Arecanut,4729,3106, Laterite
Assam,Whole Year ,Arecanut,4738,3573, Laterite
Assam,Whole Year ,Arecanut,4790,3361, Laterite
Assam,Whole Year ,Arecanut,4845,3557, Laterite
Assam,Whole Year ,Arecanut,5086,2940, Laterite
Assam,Whole Year ,Arecanut,5080,4060, Laterite
Assam,Whole Year ,Arecanut,4398,3346, Laterite
Assam,Whole Year ,Arecanut,4565,4070, Laterite
Assam,Whole Year ,Arecanut,6038,4733, Laterite
Assam,Whole Year ,Arecanut,6061,5076, Laterite
Assam,Rabi       ,Arecanut,6061,5076, Laterite
Assam,Rabi       ,Arecanut,6306,5619, Laterite
Assam,Rabi       ,Arecanut,6369,5061, Laterite
Assam,Rabi       ,Arecanut,6221,4344, Laterite
Assam,Whole Year ,Arecanut,2400,2164, Laterite
Assam,Whole Year ,Arecanut,2400,4292, Laterite
Assam,Whole Year ,Arecanut,2500,2689, Laterite
Assam,Whole Year ,Arecanut,2600,1601, Laterite
Assam,Whole Year ,Arecanut,2650,4092, Laterite
Assam,Whole Year ,Arecanut,2700,916, Laterite
Assam,Whole Year ,Arecanut,2690,548, Laterite
Assam,Whole Year ,Arecanut,2695,1118, Laterite
Assam,Whole Year ,Arecanut,2900,1190, Laterite
Assam,Whole Year ,Arecanut,2850,783, Laterite
Assam,Whole Year ,Arecanut,2805,1425, Laterite
Assam,Whole Year ,Arecanut,2800,2015, Laterite
Assam,Rabi       ,Arecanut,2800,2015, Laterite
Assam,Rabi       ,Arecanut,3000,1611, Laterite
Assam,Rabi       ,Arecanut,2925,1294, Laterite
Assam,Rabi       ,Arecanut,2687,7944, Laterite
Assam,Whole Year ,Arecanut,2700,3135, Laterite
Assam,Whole Year ,Arecanut,2766,1059, Laterite
Assam,Whole Year ,Arecanut,2235,749, Laterite
Assam,Whole Year ,Arecanut,2286,688, Laterite
Assam,Whole Year ,Arecanut,2415,2291, Laterite
Assam,Whole Year ,Arecanut,2500,1374, Laterite
Assam,Whole Year ,Arecanut,2325,992, Laterite
Assam,Whole Year ,Arecanut,2329,1117, Laterite
Assam,Whole Year ,Arecanut,2504,1423, Laterite
Assam,Whole Year ,Arecanut,2540,1653, Laterite
Assam,Whole Year ,Arecanut,2959,2481, Laterite
Assam,Whole Year ,Arecanut,2980,1881, Laterite
Assam,Rabi       ,Arecanut,2980,1881, Laterite
Assam,Rabi       ,Arecanut,2737,2017, Laterite
Assam,Rabi       ,Arecanut,2532,1610, Laterite
Assam,Rabi       ,Arecanut,2856,1885, Laterite
Assam,Whole Year ,Arecanut,5611,3395, Laterite
Assam,Whole Year ,Arecanut,5400,3011, Laterite
Assam,Whole Year ,Arecanut,5217,3355, Laterite
Assam,Whole Year ,Arecanut,5256,4407, Laterite
Assam,Whole Year ,Arecanut,5316,3505, Laterite
Assam,Whole Year ,Arecanut,5325,2232, Laterite
Assam,Whole Year ,Arecanut,5375,6073, Laterite
Assam,Whole Year ,Arecanut,4880,6140, Laterite
Assam,Whole Year ,Arecanut,4522,2786, Laterite
Assam,Whole Year ,Arecanut,4527,5780, Laterite
Assam,Whole Year ,Arecanut,3566,4634, Laterite
Assam,Whole Year ,Arecanut,4284,7428, Laterite
Assam,Rabi       ,Arecanut,4284,7428, Laterite
Assam,Rabi       ,Arecanut,4250,4802, Laterite
Assam,Rabi       ,Arecanut,4318,4716, Laterite
Assam,Rabi       ,Arecanut,3978,3720, Laterite
Assam,Whole Year ,Arecanut,519,304, Laterite
Assam,Whole Year ,Arecanut,540,456, Laterite
Assam,Whole Year ,Arecanut,650,831, Laterite
Assam,Whole Year ,Arecanut,850,1393, Laterite
Assam,Rabi       ,Arecanut,850,1393, Laterite
Assam,Rabi       ,Arecanut,662,704, Laterite
Assam,Rabi       ,Arecanut,675,91, Laterite
Assam,Rabi       ,Arecanut,684,692, Laterite
Assam,Whole Year ,Arecanut,1213,988, Laterite
Assam,Whole Year ,Arecanut,1213,509, Laterite
Assam,Whole Year ,Arecanut,1234,766, Laterite
Assam,Whole Year ,Arecanut,1198,739, Laterite
Assam,Whole Year ,Arecanut,1209,1142, Laterite
Assam,Whole Year ,Arecanut,1216,582, Laterite
Assam,Whole Year ,Arecanut,1226,1536, Laterite
Assam,Whole Year ,Arecanut,1240,689, Laterite
Assam,Whole Year ,Arecanut,1302,1310, Laterite
Assam,Whole Year ,Arecanut,1287,984, Laterite
Assam,Whole Year ,Arecanut,1332,894, Laterite
Assam,Whole Year ,Arecanut,1346,1861, Laterite
Assam,Rabi       ,Arecanut,1346,1861, Laterite
Assam,Rabi       ,Arecanut,1440,1091, Laterite
Assam,Rabi       ,Arecanut,1447,1418, Laterite
Assam,Rabi       ,Arecanut,1487,460, Laterite
Assam,Whole Year ,Arecanut,2035,1330, Laterite
Assam,Whole Year ,Arecanut,2100,925, Laterite
Assam,Whole Year ,Arecanut,2175,1003, Laterite
Assam,Whole Year ,Arecanut,2196,827, Laterite
Assam,Whole Year ,Arecanut,2200,2127, Laterite
Assam,Whole Year ,Arecanut,2215,739, Laterite
Assam,Whole Year ,Arecanut,2231,992, Laterite
Assam,Whole Year ,Arecanut,2231,1009, Laterite
Assam,Whole Year ,Arecanut,2285,906, Laterite
Assam,Whole Year ,Arecanut,2299,1071, Laterite
Assam,Whole Year ,Arecanut,2070,786, Laterite
Assam,Whole Year ,Arecanut,2120,641, Laterite
Assam,Rabi       ,Arecanut,2120,641, Laterite
Assam,Rabi       ,Arecanut,2242,803, Laterite
Assam,Rabi       ,Arecanut,2292,784, Laterite
Assam,Rabi       ,Arecanut,2338,938, Laterite
Assam,Whole Year ,Arecanut,1345,2344, Laterite
Assam,Whole Year ,Arecanut,1356,1706, Laterite
Assam,Whole Year ,Arecanut,1310,1702, Laterite
Assam,Whole Year ,Arecanut,1341,3671, Laterite
Assam,Whole Year ,Arecanut,1433,1331, Laterite
Assam,Whole Year ,Arecanut,1455,1484, Laterite
Assam,Whole Year ,Arecanut,1466,3105, Laterite
Assam,Whole Year ,Arecanut,1473,935, Laterite
Assam,Whole Year ,Arecanut,1719,2201, Laterite
Assam,Whole Year ,Arecanut,1668,3546, Laterite
Assam,Whole Year ,Arecanut,1681,3143, Laterite
Assam,Whole Year ,Arecanut,1568,2552, Laterite
Assam,Rabi       ,Arecanut,1568,2552, Laterite
Assam,Rabi       ,Arecanut,1650,2788, Laterite
Assam,Rabi       ,Arecanut,1630,31459, Laterite
Assam,Rabi       ,Arecanut,1790,1441, Laterite
Assam,Whole Year ,Arecanut,2235,1337, Laterite
Assam,Whole Year ,Arecanut,2242,2767, Laterite
Assam,Whole Year ,Arecanut,2290,2513, Laterite
Assam,Whole Year ,Arecanut,2319,1649, Laterite
Assam,Whole Year ,Arecanut,2291,1781, Laterite
Assam,Whole Year ,Arecanut,2322,1064, Laterite
Assam,Whole Year ,Arecanut,2893,2788, Laterite
Assam,Whole Year ,Arecanut,2893,2880, Laterite
Assam,Whole Year ,Arecanut,3307,3507, Laterite
Assam,Whole Year ,Arecanut,3009,2900, Laterite
Assam,Whole Year ,Arecanut,2791,2563, Laterite
Assam,Whole Year ,Arecanut,3013,3964, Laterite
Assam,Rabi       ,Arecanut,3013,3964, Laterite
Assam,Rabi       ,Arecanut,2457,1654, Laterite
Assam,Rabi       ,Arecanut,2675,1743, Laterite
Assam,Rabi       ,Arecanut,2677,1818, Laterite
Assam,Whole Year ,Arecanut,1403,821, Laterite
Assam,Whole Year ,Arecanut,1403,1239, Laterite
Assam,Whole Year ,Arecanut,1400,1214, Laterite
Assam,Whole Year ,Arecanut,1400,478, Laterite
Assam,Whole Year ,Arecanut,1400,1148, Laterite
Assam,Whole Year ,Arecanut,1400,734, Laterite
Assam,Whole Year ,Arecanut,1400,1358, Laterite
Assam,Whole Year ,Arecanut,1398,1460, Laterite
Assam,Whole Year ,Arecanut,1250,848, Laterite
Assam,Whole Year ,Arecanut,1250,945, Laterite
Assam,Whole Year ,Arecanut,1296,1480, Laterite
Assam,Whole Year ,Arecanut,1331,1347, Laterite
Assam,Rabi       ,Arecanut,1331,1347, Laterite
Assam,Rabi       ,Arecanut,1385,1014, Laterite
Assam,Rabi       ,Arecanut,1438,856, Laterite
Assam,Rabi       ,Arecanut,1451,1073, Laterite
Assam,Whole Year ,Arecanut,5979,4768, Laterite
Assam,Whole Year ,Arecanut,5934,3767, Laterite
Assam,Whole Year ,Arecanut,6273,5916, Laterite
Assam,Whole Year ,Arecanut,6288,6305, Laterite
Assam,Whole Year ,Arecanut,6309,8944, Laterite
Assam,Whole Year ,Arecanut,6350,4947, Laterite
Assam,Whole Year ,Arecanut,6137,7606, Laterite
Assam,Whole Year ,Arecanut,5026,6622, Laterite
Assam,Whole Year ,Arecanut,5413,5061, Laterite
Assam,Whole Year ,Arecanut,5463,5398, Laterite
Assam,Whole Year ,Arecanut,5544,7708, Laterite
Assam,Whole Year ,Arecanut,5276,6516, Laterite
Assam,Rabi       ,Arecanut,5276,6516, Laterite
Assam,Rabi       ,Arecanut,5473,7264, Laterite
Assam,Rabi       ,Arecanut,4889,4753, Laterite
Assam,Rabi       ,Arecanut,5340,8605, Laterite
Assam,Whole Year ,Arecanut,3980,3795, Laterite
Assam,Whole Year ,Arecanut,3990,3071, Laterite
Assam,Whole Year ,Arecanut,3990,1337, Laterite
Assam,Whole Year ,Arecanut,3998,4548, Laterite
Assam,Whole Year ,Arecanut,3998,3788, Laterite
Assam,Whole Year ,Arecanut,3950,3910, Laterite
Assam,Whole Year ,Arecanut,3945,6073, Laterite
Assam,Whole Year ,Arecanut,3950,4114, Laterite
Assam,Whole Year ,Arecanut,1900,1853, Laterite
Assam,Whole Year ,Arecanut,1950,1965, Laterite
Assam,Whole Year ,Arecanut,1960,1828, Laterite
Assam,Whole Year ,Arecanut,1980,2147, Laterite
Assam,Rabi       ,Arecanut,1980,2147, Laterite
Assam,Rabi       ,Arecanut,2010,1604, Laterite
Assam,Rabi       ,Arecanut,1450,1433, Laterite
Assam,Rabi       ,Arecanut,1390,1413, Laterite
Assam,Whole Year ,Arecanut,5930,6372, Laterite
Assam,Whole Year ,Arecanut,6020,4597, Laterite
Assam,Whole Year ,Arecanut,4335,2492, Laterite
Assam,Whole Year ,Arecanut,4347,7385, Laterite
Assam,Whole Year ,Arecanut,4356,4795, Laterite
Assam,Whole Year ,Arecanut,4353,2752, Laterite
Assam,Whole Year ,Arecanut,3913,3301, Laterite
Assam,Whole Year ,Arecanut,3532,2884, Laterite
Assam,Whole Year ,Arecanut,3441,2288, Laterite
Assam,Whole Year ,Arecanut,3435,2574, Laterite
Assam,Whole Year ,Arecanut,3175,2438, Laterite
Assam,Whole Year ,Arecanut,3108,2266, Laterite
Assam,Rabi       ,Arecanut,3108,2266, Laterite
Assam,Rabi       ,Arecanut,2271,1274, Laterite
Assam,Rabi       ,Arecanut,2299,1693, Laterite
Assam,Rabi       ,Arecanut,2268,1802, Laterite
Assam,Whole Year ,Arecanut,4151,4070, Laterite
Assam,Whole Year ,Arecanut,4158,2616, Laterite
Assam,Whole Year ,Arecanut,4254,3403, Laterite
Assam,Whole Year ,Arecanut,4313,2785, Laterite
Assam,Whole Year ,Arecanut,4335,5187, Laterite
Assam,Whole Year ,Arecanut,4490,4141, Laterite
Assam,Whole Year ,Arecanut,4600,3411, Laterite
Assam,Whole Year ,Arecanut,4620,4133, Laterite
Assam,Whole Year ,Arecanut,4624,5758, Laterite
Assam,Whole Year ,Arecanut,4604,3344, Laterite
Assam,Whole Year ,Arecanut,4649,5268, Laterite
Assam,Whole Year ,Arecanut,4927,6473, Laterite
Assam,Rabi       ,Arecanut,4927,6473, Laterite
Assam,Rabi       ,Arecanut,4880,3367, Laterite
Assam,Rabi       ,Arecanut,4757,5628, Laterite
Assam,Rabi       ,Arecanut,4783,3108, Laterite
Assam,Whole Year ,Arecanut,2082,1473, Laterite
Assam,Whole Year ,Arecanut,2096,1667, Laterite
Assam,Whole Year ,Arecanut,2102,1417, Laterite
Assam,Whole Year ,Arecanut,2120,1691, Laterite
Assam,Whole Year ,Arecanut,2134,2626, Laterite
Assam,Whole Year ,Arecanut,2144,2297, Laterite
Assam,Whole Year ,Arecanut,2161,3011, Laterite
Assam,Whole Year ,Arecanut,2152,1074, Laterite
Assam,Whole Year ,Arecanut,1720,1160, Laterite
Assam,Whole Year ,Arecanut,1646,1229, Laterite
Assam,Whole Year ,Arecanut,2092,1292, Laterite
Assam,Whole Year ,Arecanut,2079,1009, Laterite
Assam,Rabi       ,Arecanut,2079,1009, Laterite
Assam,Rabi       ,Arecanut,1881,1563, Laterite
Assam,Rabi       ,Arecanut,1896,1705, Laterite
Assam,Rabi       ,Arecanut,1903,1784, Laterite
Assam,Whole Year ,Arecanut,1995,1046, Laterite
Assam,Whole Year ,Arecanut,1951,1648, Laterite
Assam,Whole Year ,Arecanut,2098,2024, Laterite
Assam,Whole Year ,Arecanut,2200,1841, Laterite
Assam,Rabi       ,Arecanut,2200,1841, Laterite
Assam,Rabi       ,Arecanut,2110,1273, Laterite
Assam,Rabi       ,Arecanut,2075,1834, Laterite
Assam,Rabi       ,Arecanut,2215,1503, Laterite
Goa,Whole Year ,Arecanut,1468,2458, Laterite
Goa,Whole Year ,Arecanut,1472,2443, Laterite
Goa,Whole Year ,Arecanut,272,437, Laterite
Goa,Whole Year ,Arecanut,278,452, Laterite
Karnataka,Whole Year ,Arecanut,1,7, Laterite
Karnataka,Whole Year ,Arecanut,4,6, Laterite
Karnataka,Whole Year ,Arecanut,4,6, Laterite
Karnataka,Whole Year ,Arecanut,6,8, Laterite
Karnataka,Whole Year ,Arecanut,2,3, Laterite
Karnataka,Whole Year ,Arecanut,479,3226, Laterite
Karnataka,Whole Year ,Arecanut,514,719, Laterite
Karnataka,Whole Year ,Arecanut,1828,2557, Laterite
Karnataka,Whole Year ,Arecanut,1998,2795, Laterite
Karnataka,Whole Year ,Arecanut,1975,2763, Laterite
Karnataka,Whole Year ,Arecanut,2099,14137, Laterite
Karnataka,Whole Year ,Arecanut,2257,3157, Laterite
Karnataka,Whole Year ,Arecanut,1377,9274, Laterite
Karnataka,Whole Year ,Arecanut,1338,9011, Laterite
Karnataka,Whole Year ,Arecanut,1100,7408, Laterite
Karnataka,Whole Year ,Arecanut,1213,13116, Laterite
Karnataka,Whole Year ,Arecanut,1615,13079, Laterite
Karnataka,Whole Year ,Arecanut,1380,11076, Laterite
Karnataka,Whole Year ,Arecanut,1695,18880, Laterite
Karnataka,Whole Year ,Arecanut,1519,14055, Laterite
Karnataka,Whole Year ,Arecanut,2,3, Laterite
Karnataka,Whole Year ,Arecanut,8,11, Laterite
Karnataka,Whole Year ,Arecanut,9,58, Laterite
Karnataka,Whole Year ,Arecanut,9,12, Laterite
Karnataka,Whole Year ,Arecanut,7,45, Laterite
Karnataka,Whole Year ,Arecanut,7,45, Laterite
Karnataka,Whole Year ,Arecanut,7,45, Laterite
